"dataset","instan","classes","FSize","LCoef01","LCoef02","LCoef03","LCoef12","LCoef13","LCoef23","skew0","skew1","skew2","skew3","kurtosis0","kurtosis1","kurtosis2","kurtosis3","nCEntropy","entroC","toCorr","Acc","SAR","Algorithm","runTime","CPUtime","usedMemory"
"PCA4sick",3772,2,137.376,-7.09719680428924e-16,6.60000779052829e-16,-6.73695013204996e-16,-2.78849890133006e-16,3.31337707096406e-16,4.46205543676301e-16,2.06163247050055,-1.39941050259195,1.47060252969092,-1.48217639859523,4.3880499668727,4.87147900321527,2.75776891437289,10.2404276679908,0.0991569856875005,0.229705168178622,8.62882932015497,"93.37","31.61","RandomTree","139","460.27838","241.27283"
"PCA4sick",3772,2,137.376,-7.09719680428924e-16,6.60000779052829e-16,-6.73695013204996e-16,-2.78849890133006e-16,3.31337707096406e-16,4.46205543676301e-16,2.06163247050055,-1.39941050259195,1.47060252969092,-1.48217639859523,4.3880499668727,4.87147900321527,2.75776891437289,10.2404276679908,0.0991569856875005,0.229705168178622,8.62882932015497,"94.75","32.08","JRip","953","433.35745","346.95276"
"PCA4sick",3772,2,137.376,-7.09719680428924e-16,6.60000779052829e-16,-6.73695013204996e-16,-2.78849890133006e-16,3.31337707096406e-16,4.46205543676301e-16,2.06163247050055,-1.39941050259195,1.47060252969092,-1.48217639859523,4.3880499668727,4.87147900321527,2.75776891437289,10.2404276679908,0.0991569856875005,0.229705168178622,8.62882932015497,"93.88","31.74","OneR","43","433.4024","369.49072"
"PCA4sick",3772,2,137.376,-7.09719680428924e-16,6.60000779052829e-16,-6.73695013204996e-16,-2.78849890133006e-16,3.31337707096406e-16,4.46205543676301e-16,2.06163247050055,-1.39941050259195,1.47060252969092,-1.48217639859523,4.3880499668727,4.87147900321527,2.75776891437289,10.2404276679908,0.0991569856875005,0.229705168178622,8.62882932015497,"95.28","32.24","LibSVM","3365","205.77562","146.02318"
"PCA4sick",3772,2,137.376,-7.09719680428924e-16,6.60000779052829e-16,-6.73695013204996e-16,-2.78849890133006e-16,3.31337707096406e-16,4.46205543676301e-16,2.06163247050055,-1.39941050259195,1.47060252969092,-1.48217639859523,4.3880499668727,4.87147900321527,2.75776891437289,10.2404276679908,0.0991569856875005,0.229705168178622,8.62882932015497,"94.86","32.19","MultilayerPerceptron","21448","227.23216","166.87399"
"PCA4sick",3772,2,137.376,-7.09719680428924e-16,6.60000779052829e-16,-6.73695013204996e-16,-2.78849890133006e-16,3.31337707096406e-16,4.46205543676301e-16,2.06163247050055,-1.39941050259195,1.47060252969092,-1.48217639859523,4.3880499668727,4.87147900321527,2.75776891437289,10.2404276679908,0.0991569856875005,0.229705168178622,8.62882932015497,"94.35","32","RandomCommittee","1390","435.06915","349.62839"
"PCA4sick",3772,2,137.376,-7.09719680428924e-16,6.60000779052829e-16,-6.73695013204996e-16,-2.78849890133006e-16,3.31337707096406e-16,4.46205543676301e-16,2.06163247050055,-1.39941050259195,1.47060252969092,-1.48217639859523,4.3880499668727,4.87147900321527,2.75776891437289,10.2404276679908,0.0991569856875005,0.229705168178622,8.62882932015497,"94.8","32.13","J48","199","435.26923","370.35077"
"PCA4sick",3772,2,137.376,-7.09719680428924e-16,6.60000779052829e-16,-6.73695013204996e-16,-2.78849890133006e-16,3.31337707096406e-16,4.46205543676301e-16,2.06163247050055,-1.39941050259195,1.47060252969092,-1.48217639859523,4.3880499668727,4.87147900321527,2.75776891437289,10.2404276679908,0.0991569856875005,0.229705168178622,8.62882932015497,"92.18","31.27","NaiveBayes","40","429.84259","280.00443"
"PCA4sick",3772,2,137.376,-7.09719680428924e-16,6.60000779052829e-16,-6.73695013204996e-16,-2.78849890133006e-16,3.31337707096406e-16,4.46205543676301e-16,2.06163247050055,-1.39941050259195,1.47060252969092,-1.48217639859523,4.3880499668727,4.87147900321527,2.75776891437289,10.2404276679908,0.0991569856875005,0.229705168178622,8.62882932015497,"92.18","31.27","NaiveBayesUpdateable","38","429.8847","298.49738"
"PCA4sick",3772,2,137.376,-7.09719680428924e-16,6.60000779052829e-16,-6.73695013204996e-16,-2.78849890133006e-16,3.31337707096406e-16,4.46205543676301e-16,2.06163247050055,-1.39941050259195,1.47060252969092,-1.48217639859523,4.3880499668727,4.87147900321527,2.75776891437289,10.2404276679908,0.0991569856875005,0.229705168178622,8.62882932015497,"94.38","32.03","AdaBoostM1","722","430.60916","232.42575"
"PCA4sick",3772,2,137.376,-7.09719680428924e-16,6.60000779052829e-16,-6.73695013204996e-16,-2.78849890133006e-16,3.31337707096406e-16,4.46205543676301e-16,2.06163247050055,-1.39941050259195,1.47060252969092,-1.48217639859523,4.3880499668727,4.87147900321527,2.75776891437289,10.2404276679908,0.0991569856875005,0.229705168178622,8.62882932015497,"94.94","32.22","Bagging","894","431.50443","256.34668"
